gene,CTLrep1,CTLrep2,CTLrep3,KOrep1,KOrep2,KOrep3
ENSMUSG00000026280.18,107,73,115,102,111,131
ENSMUSG00000026283.14,79,92,112,82,107,76
ENSMUSG00000100347.2,367,275,404,377,430,340
ENSMUSG00000051185.10,16,14,23,15,17,21
ENSMUSG00000081051.5,11,13,12,3,2,10
ENSMUSG00000040710.11,80,60,89,54,71,115
ENSMUSG00000044757.8,23,24,34,28,26,31
ENSMUSG00000044768.17,310,293,375,355,291,249
ENSMUSG00000040648.16,600,580,820,643,696,427
ENSMUSG00000026333.15,20,25,32,29,36,28
ENSMUSG00000026335.17,1367,1179,1611,1268,1239,1188
ENSMUSG00000089782.2,9380,8468,11566,10028,9417,10772
ENSMUSG00000099634.2,2,1,2,1,1,5
ENSMUSG00000089791.2,143,99,151,141,147,103
ENSMUSG00000099835.2,1215,1092,1668,1222,1114,1557
ENSMUSG00000047496.7,22,10,30,11,21,14
ENSMUSG00000067017.6,1780,1494,2149,1975,2019,1732
ENSMUSG00000056536.15,183,168,243,213,230,182
ENSMUSG00000026319.14,788,659,1022,990,1012,751
ENSMUSG00000101330.2,404,395,475,466,384,428
ENSMUSG00000038866.16,313,277,362,283,326,275
ENSMUSG00000044340.8,254,220,319,238,269,259
ENSMUSG00000057329.8,59,37,61,64,85,73
ENSMUSG00000009905.6,66,39,58,65,76,57
ENSMUSG00000009907.18,116,96,137,130,151,118
ENSMUSG00000100025.2,241,183,264,231,252,303
ENSMUSG00000026312.18,67,80,87,69,78,74
ENSMUSG00000038702.7,45,44,50,40,44,39
ENSMUSG00000099732.3,4,5,6,3,2,4
ENSMUSG00000099870.2,146,122,204,149,198,174
ENSMUSG00000026374.15,298,244,345,290,293,304
ENSMUSG00000026377.13,8,8,12,6,7,10
ENSMUSG00000064302.15,1162,949,1407,1144,1179,910
ENSMUSG00000048402.15,34,39,64,43,43,46
ENSMUSG00000100767.2,33,15,20,33,39,53
ENSMUSG00000037035.6,124,103,138,119,142,150
ENSMUSG00000098923.2,61,40,63,69,66,77
ENSMUSG00000026383.15,567,503,676,567,603,492
ENSMUSG00000026384.14,779,593,809,792,762,566
ENSMUSG00000026387.16,28,19,20,11,16,28
ENSMUSG00000026389.17,32,22,28,36,30,25
ENSMUSG00000036907.12,33,22,51,54,39,36
ENSMUSG00000101700.2,4,3,7,3,7,4
ENSMUSG00000003721.15,11,15,16,11,15,7
ENSMUSG00000026339.19,7,8,16,16,10,11
ENSMUSG00000001674.12,110,98,134,106,127,94
ENSMUSG00000100405.2,458,349,484,465,499,709
ENSMUSG00000036815.18,85,42,85,77,93,86
ENSMUSG00000026341.17,6134,5514,7733,7955,7674,6235
ENSMUSG00000026342.11,268,236,334,388,340,269
ENSMUSG00000026344.10,117,97,130,111,145,159
ENSMUSG00000036155.14,148,144,146,136,150,111
ENSMUSG00000099471.2,288,308,450,534,373,430
ENSMUSG00000026349.15,929,781,987,988,1034,782
ENSMUSG00000036104.13,310,240,420,318,343,319
ENSMUSG00000036086.17,6,10,6,3,7,15
ENSMUSG00000058603.11,1073,1018,1651,1186,1274,1915
ENSMUSG00000056211.14,1553,1395,1905,1634,1548,1435
ENSMUSG00000026353.10,208,154,229,235,220,172
ENSMUSG00000026355.12,803,748,1038,654,746,790
ENSMUSG00000026356.16,2907,2634,3593,3108,3238,2813
ENSMUSG00000100078.2,27379,23857,32584,29172,30507,34316
ENSMUSG00000045382.7,13,19,16,10,11,16
ENSMUSG00000042581.15,33,38,38,49,40,38
ENSMUSG00000089648.2,23,14,31,26,43,32
ENSMUSG00000094122.2,11245,9995,14576,13627,12679,13428
ENSMUSG00000026409.15,26,22,36,22,33,25
ENSMUSG00000046404.6,166,124,193,190,213,142
ENSMUSG00000016528.11,1033,826,1183,1047,1130,961
ENSMUSG00000026427.17,118,95,140,122,91,132
ENSMUSG00000026430.17,33,9,21,21,21,13
ENSMUSG00000026425.16,1049,847,1212,868,949,886
ENSMUSG00000055184.5,87,64,103,80,78,91
ENSMUSG00000095841.3,8,9,14,16,10,12
ENSMUSG00000004552.17,13,1,10,16,16,12
ENSMUSG00000042268.11,76,60,76,67,68,63
